"hat","true"
"coh1815",84.395,74
"coh1816",83.586,76
"coh1817",83.496,78
"coh1818",82.742,80
"coh1819",81.859,82
"beta",0.129,0.1
"coh1815",84.232,74
"coh1816",83.841,76
"coh1817",83.267,78
"coh1818",82.73,80
"coh1819",82.279,82
"beta",0.132,0.1
"coh1815",84.154,74
"coh1816",83.891,76
"coh1817",83.221,78
"coh1818",82.713,80
"coh1819",82.383,82
"beta",0.133,0.1
"coh1815",84.675,74
"coh1816",83.698,76
"coh1817",83.281,78
"coh1818",82.738,80
"coh1819",82.618,82
"beta",0.131,0.1
"coh1915",84.302,86
"coh1916",83.7,85
"coh1917",83.245,84
"coh1918",83.195,83
"coh1919",82.171,82
"beta",0.131,0.1
"coh1915",84.267,86
"coh1916",84.047,85
"coh1917",83.311,84
"coh1918",82.73,83
"coh1919",82.576,82
"beta",0.128,0.1
"coh1915",84.456,86
"coh1916",83.796,85
"coh1917",83.34,84
"coh1918",82.936,83
"coh1919",82.048,82
"beta",0.132,0.1
"coh1915",84.292,86
"coh1916",83.675,85
"coh1917",83.106,84
"coh1918",82.698,83
"coh1919",82.468,82
"beta",0.129,0.1
