"hat","true"
"coh1910",88.547,86
"coh1911",87.258,83
"coh1912",87.679,89
"coh1913",85.814,85
"coh1914",86.369,85
"coh1915",86.742,88
"coh1916",85.527,83
"coh1917",84.74,84
"coh1918",81.714,83
"coh1919",83.703,82
"beta",0.123,0.1
"coh1910",88.471,86
"coh1911",87.213,83
"coh1912",86.629,89
"coh1913",87.059,85
"coh1914",86.024,85
"coh1915",84.961,88
"coh1916",86.291,83
"coh1917",85.379,84
"coh1918",82.649,83
"coh1919",82.263,82
"beta",0.118,0.1
"coh1910",88.889,86
"coh1911",87.216,83
"coh1912",87.489,89
"coh1913",85.251,85
"coh1914",86.482,85
"coh1915",85.475,88
"coh1916",84.184,83
"coh1917",84.939,84
"coh1918",83.627,83
"coh1919",83.509,82
"beta",0.123,0.1
